epoch,avg_reward,success_rate,collisions,actor_loss,critic_loss
1,-5.696,0.0,0,0.61955,86.03716
2,-3.798,0.0,0,0.76466,91.07108
3,-26.617,0.0,0,2.03426,110.01388
4,-4.982,0.0,0,0.52252,90.46339
5,-4.561,0.0,0,0.47165,92.28339
6,-5.220,0.0,0,0.63792,87.62956
7,-26.134,0.0,0,1.88640,108.63636
8,-4.577,0.0,0,0.55499,90.16367
9,-4.899,0.0,0,0.43722,89.57000
10,-25.595,0.0,0,1.97353,95.52759
11,-4.322,0.0,0,0.45712,90.59230
12,-4.259,0.0,0,0.38620,91.66733
13,-3.893,0.0,0,0.37758,92.39593
14,-3.941,0.0,0,0.39024,91.41346
15,-3.435,0.0,0,0.33790,93.77377
16,-4.522,0.0,0,0.35699,89.07758
17,-4.932,0.0,0,0.31027,88.47368
18,-3.759,0.0,0,0.37637,90.29495
19,-3.343,0.0,0,0.30889,91.46109
20,-4.168,0.0,0,0.29221,88.78713
21,-4.876,0.0,0,0.19776,86.48900
22,-3.896,0.0,0,0.10933,90.18608
23,-3.198,0.0,0,0.09043,92.31279
24,-5.428,0.0,0,0.10425,84.48024
25,-3.874,0.0,0,0.11029,88.93661
26,-3.413,0.0,0,0.01443,89.70674
27,-4.031,0.0,0,-0.06475,88.38432
28,-3.575,0.0,0,-0.01640,88.99820
29,-3.198,0.0,0,-0.00476,88.52994
30,-4.094,0.0,0,-0.08821,86.22515
31,-3.889,0.0,0,-0.02620,84.22588
32,-3.550,0.0,0,-0.17134,88.15553
33,-2.860,0.0,0,-0.21786,88.67877
34,-4.194,0.0,0,-0.20714,85.63501
35,-3.336,0.0,0,-0.25972,86.76340
36,-2.682,0.0,0,-0.20472,88.07500
37,-3.214,0.0,0,-0.22667,85.41906
38,-3.074,0.0,0,-0.33143,87.57366
39,-2.678,0.0,0,-0.25545,86.72391
40,-2.722,0.0,0,-0.31756,88.31354
41,-1.630,0.0,0,-0.16828,90.20025
42,-2.301,0.0,0,-0.27959,87.84233
43,-2.396,0.0,0,-0.18697,87.33591
44,-3.045,0.0,0,-0.29722,84.16108
45,-2.645,0.0,0,-0.31212,86.97031
46,-2.952,0.0,0,-0.20919,84.47915
47,-2.862,0.0,0,-0.12122,83.78927
48,-2.103,0.0,0,-0.10848,86.81950
49,-2.966,0.0,0,-0.10128,83.53013
50,-1.942,0.0,0,0.05304,85.99230
51,-2.278,0.0,0,-0.08791,84.96107
52,-2.180,0.0,0,-0.03997,84.30850
53,-3.226,0.0,0,-0.17649,81.00158
54,-2.691,0.0,0,-0.14596,81.91756
55,-1.889,0.0,0,-0.12922,85.02837
56,-2.382,0.0,0,-0.07853,83.56363
57,-2.241,0.0,0,-0.18860,81.97696
58,-2.190,0.0,0,-0.01188,79.82477
59,-2.059,0.0,0,-0.31053,80.74980
60,-1.578,0.0,0,-0.26341,80.62615
61,-1.758,0.0,0,-0.44693,81.63047
62,-1.848,0.0,0,-0.38291,79.05630
63,-2.148,0.0,0,-0.40963,77.65099
64,-1.418,0.0,0,-0.32819,78.74281
65,-1.955,0.0,0,-0.49250,77.24878
66,-1.637,0.0,0,-0.45707,75.55341
67,-1.328,0.0,0,-0.38757,75.22586
68,-1.421,0.0,0,-0.53869,75.08811
69,-1.790,0.0,0,-0.65115,73.80458
